char,male,female
震,470506,26335
灶,20982,26244
列,30376,26180
玟,2131,26048
闻,59846,25949
积,155059,25947
党,81970,25894
楼,82202,25827
娉,72,25809
栩,37403,25797
未,26281,25736
慢,1862,25509
里,145066,25262
鸥,14845,25045
配,12974,24935
梁,303513,24709
北,147648,24703
陶,45026,24687
炫,73377,24687
霓,1801,24351
骏,361656,24153
萧,18653,23942
郭,15947,23816
暄,12869,23673
驰,149894,23612
巴,41015,23492
嵘,33869,23473
朦,4214,23429
央,12388,23386
回,10836,23360
颍,3831,23338
潼,13052,23278
翼,87649,23206
桔,5310,23075
朗,119219,23054
居,76889,22991
燃,35400,22867
璞,52841,22736
璠,8466,22648
汇,34252,22609
煊,47501,22604
胖,17201,22323
解,29139,22229
镇,419678,22186
璨,10272,22151
朱,23358,22127
澄,51459,21985
鹭,6504,21938
衡,161576,21865
苇,11631,21787
翊,34875,21783
劲,211995,21764
精,31249,21760
砚,34642,21538
欧,29435,21473
菱,1510,21242
曙,93528,21232
潘,36655,21209
巨,115593,21174
盟,35955,21099
勉,16539,21031
皎,4379,21016
珑,24652,20701
专,25912,20539
麒,108054,20343
颂,47571,20308
焰,37260,20299
随,36777,20163
喻,12427,20145
战,306426,19956
薪,13242,19909
涓,715,19900
虾,10206,19874
玄,44750,19720
瀚,152948,19719
溢,43061,19650
萃,1610,19572
要,70478,19529
员,22014,19526
佃,28326,19488
魏,37089,19461
愿,32447,19338
绣,1304,19200
也,16778,19160
深,233202,19056
壮,330446,18945
醒,16371,18849
悠,6278,18761
隽,20938,18758
沐,32265,18631
峻,154449,18545
潞,5139,18500
尾,5740,18486
默,20917,18332
恺,116554,18253
际,89754,18246
煌,207416,18202
的,5522,18104
倍,14784,18071
皖,10039,17858
求,45190,17854
戈,49167,17842
旎,217,17832
聚,136981,17796
飒,3624,17747
公,114954,17652
彭,65692,17591
姜,15289,17488
宵,15461,17468
拥,113821,17465
谨,19447,17458
溶,3419,17456
翎,3918,17454
迷,2284,17403
纹,4966,17359
各,8858,17353
慎,45927,17336
吾,18376,17293
点,15932,17215
复,55569,17209
嫩,1815,17128
左,16510,16913
忙,5753,16865
潮,223546,16760
融,15581,16718
栓,95449,16713
沂,16817,16705
燚,39053,16643
忻,7024,16596
十,25139,16577
牛,113967,16524
榴,1141,16453
坪,21199,16415
粤,24343,16336
蝉,1942,16197
岐,184117,16089
徽,31489,15995
样,11734,15887
汐,3977,15577
院,29360,15573
蒲,7797,15516
骄,13978,15426
赢,21897,15270
炼,44492,15252
灯,61854,15226
纤,989,15196
近,22798,15191
唐,57123,15053
颐,7166,14997
沅,38932,14956
尼,8318,14859
孙,46880,14824
练,25553,14785
禧,38702,14782
琢,23328,14714
羚,1982,14660
彧,16955,14523
霁,12033,14417
唤,1576,14279
晟,138483,14228
俪,204,14224
郡,11105,14150
盘,18421,14104
炯,95649,14053
流,62564,13894
迅,49192,13881
布,41532,13806
泰,309737,13795
祉,9613,13669
藏,4772,13635
迁,30775,13617
韬,199085,13602
睛,1081,13578
嘎,17208,13541
游,49973,13476
倪,5174,13358
魁,307815,13321
珩,25444,13317
尤,27254,13309
旸,19716,13269
毕,22837,13225
奋,42429,13138
